Unnamed: 0,#AUTHID,STATUS,cEXT,cNEU,cAGR,cCON,cOPN
24,b7b7764cfa1c523e4e93ab2a79a946c4,"tell <allcaps> me <allcaps> what <allcaps> to <allcaps> draw <allcaps> , plox <allcaps> . ",0,1,0,0,1
25,b7b7764cfa1c523e4e93ab2a79a946c4,"found a bunny , bunny died , buried bunny , now is drawing . ",0,1,0,0,1
27,b7b7764cfa1c523e4e93ab2a79a946c4,is just about insane by now . ,0,1,0,0,1
28,b7b7764cfa1c523e4e93ab2a79a946c4,wants to sleep eight hours tonight . and so she shall . ,0,1,0,0,1
29,b7b7764cfa1c523e4e93ab2a79a946c4,"really hates hormones and emotions right now . well , has hated them a lot recently . goodness . ",0,1,0,0,1
30,b7b7764cfa1c523e4e93ab2a79a946c4,has a watch that matches her glasses . she wishes she hadnt spazzed with glee when she saw it in the store . ,0,1,0,0,1
31,b7b7764cfa1c523e4e93ab2a79a946c4,"loved <number> ! allegory , symbolism , talking ragdoll , satire , and explosions ! yes ! ",0,1,0,0,1
32,b7b7764cfa1c523e4e93ab2a79a946c4,cant sit on her futon because she knows as soon as she does she ll lie down and pass out . uncomfortable rolly desk chair it is . <sadface> ,0,1,0,0,1
33,b7b7764cfa1c523e4e93ab2a79a946c4,"should spend less time writing chapters for the story she ll never finish , and try reading more books . preferably , during the daytime , and not at <number> am <allcaps> . ",0,1,0,0,1
34,b7b7764cfa1c523e4e93ab2a79a946c4,is watching kids cartoons and wishing she werent so old . ,0,1,0,0,1
35,b7b7764cfa1c523e4e93ab2a79a946c4,"has work tomorrow , and hopes they teach her how to use the cash register . <smile> ",0,1,0,0,1
36,b7b7764cfa1c523e4e93ab2a79a946c4,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the open house . slep , she beckons . ",0,1,0,0,1
37,b7b7764cfa1c523e4e93ab2a79a946c4,has a really confusing internal dilemma . she also wonders if anyone can guess what it is . ,0,1,0,0,1
38,b7b7764cfa1c523e4e93ab2a79a946c4,thinks she needs to stop leaving so many pictures half done before getting new ideas . ,0,1,0,0,1
39,b7b7764cfa1c523e4e93ab2a79a946c4,"has grown weary of drawing her paranoid , soldier / / housewife jynx character in comic form , and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition . ",0,1,0,0,1
40,b7b7764cfa1c523e4e93ab2a79a946c4,is seeing <number> tonight … maybe ? ,0,1,0,0,1
41,b7b7764cfa1c523e4e93ab2a79a946c4,"is going to work on comics , then crash into her futon with all the love unconsciousness deserves . ",0,1,0,0,1
42,b7b7764cfa1c523e4e93ab2a79a946c4,weekend <allcaps> . i love <allcaps> you <allcaps> . ,0,1,0,0,1
43,b7b7764cfa1c523e4e93ab2a79a946c4,"is listening to relient k and thinking about plants , lawyers , and internships . ",0,1,0,0,1
44,b7b7764cfa1c523e4e93ab2a79a946c4,"is drawing instead of homeworking . <neutralface> this <repeat> fun , but not good . ",0,1,0,0,1
45,b7b7764cfa1c523e4e93ab2a79a946c4,will sleep like a champion tonight . ,0,1,0,0,1
46,b7b7764cfa1c523e4e93ab2a79a946c4,"dishes , webcomics , laziness , internal lack of disruption . alright . ",0,1,0,0,1
47,b7b7764cfa1c523e4e93ab2a79a946c4,"wishes she werent ticklish sometimes . right now , though , is not one of those times . <smile> ",0,1,0,0,1
48,b7b7764cfa1c523e4e93ab2a79a946c4,has a magical ceiling . ,0,1,0,0,1
49,b7b7764cfa1c523e4e93ab2a79a946c4,"went to bed early , slept in , and still feels like she hasnt gotten a proper nights sleep . ",0,1,0,0,1
50,b7b7764cfa1c523e4e93ab2a79a946c4,"got taught how to use the register ( <heart> ! ~ ) , enjoyed ( <number> ) days of summer , and is looking forward to going to the beach monday . ",0,1,0,0,1
51,b7b7764cfa1c523e4e93ab2a79a946c4,hates fml <allcaps> on principle . ,0,1,0,0,1
52,b7b7764cfa1c523e4e93ab2a79a946c4,realizes traditional media hate her and has shunned her pencils in favor of the tablet . that ll learn em . ,0,1,0,0,1
53,b7b7764cfa1c523e4e93ab2a79a946c4,"was all prepared to do her weekend homeowrk the morning it was due , but realized she left the necessary binder at school . f <elong> <allcaps> - ",0,1,0,0,1
54,b7b7764cfa1c523e4e93ab2a79a946c4,"has early work blargedy ardgay blah . minimum <elong> wage <elong> , i love you <elong> . ",0,1,0,0,1
55,b7b7764cfa1c523e4e93ab2a79a946c4,"far away / / this ship has taken me so far away … gosh darn it , muse , stop being so awesome . ",0,1,0,0,1
56,b7b7764cfa1c523e4e93ab2a79a946c4,is a little excited to see the talent show . ,0,1,0,0,1
57,b7b7764cfa1c523e4e93ab2a79a946c4,"is tired . she would sleep , but theres a cat on her desk that requires supervision . ",0,1,0,0,1
58,b7b7764cfa1c523e4e93ab2a79a946c4,"i dont hate you . / / well , you found me . congratulations . was it worth it ? / / the only thing youve managed to break so far is my heart . / / this isnt brave . its murder . / / what did i ever do to you ? / / you dont care , do you . / / please proceed to andorid hell . ",0,1,0,0,1
59,b7b7764cfa1c523e4e93ab2a79a946c4,"needs a stupid , fluffy book to read inbetween experiences of normalcy . ",0,1,0,0,1
60,b7b7764cfa1c523e4e93ab2a79a946c4,will be up very late so she can ride with her dad to the airport to pick up her mamacita from a ( as of now ) <number> pm <allcaps> landing in from illinois . ,0,1,0,0,1
61,b7b7764cfa1c523e4e93ab2a79a946c4,"is <allcaps> in <allcaps> complete <allcaps> love <allcaps> with <allcaps> the <allcaps> blackberry <allcaps> her <allcaps> mom <allcaps> just <allcaps> surprised <allcaps> her <allcaps> with <allcaps> . and <allcaps> yes <allcaps> . she <allcaps> is <allcaps> so <allcaps> excited <allcaps> , that <allcaps> caps <allcaps> are <allcaps> completely <allcaps> necessary <allcaps> . <heart> <heart> <heart> <heart> <heart> <heart> ",0,1,0,0,1
62,b7b7764cfa1c523e4e93ab2a79a946c4,"is looking forward to early january . not the birthday per se , but the potential to meet a good friend . <smile> ",0,1,0,0,1
63,b7b7764cfa1c523e4e93ab2a79a946c4,needs to stop listening to her normal playlist if she wants to stop waking up feeling like shes missed something big . ,0,1,0,0,1
64,b7b7764cfa1c523e4e93ab2a79a946c4,spews toxic gas into your personal air bubble . its super effective ! ,0,1,0,0,1
65,b7b7764cfa1c523e4e93ab2a79a946c4,"has a comfortably comfy and mildly oversized cotton jacket from wal * mart . yay , its so soft . <heart> <heart> <heart> ",0,1,0,0,1
66,b7b7764cfa1c523e4e93ab2a79a946c4,"thinks oviedo play was awesome ( as it should be . sleep , though - she beckons sweetly with the promise of dreams and pillow related comfort . night all . ",0,1,0,0,1
67,b7b7764cfa1c523e4e93ab2a79a946c4,"just made a bucketful of cookies and a bunch of baked fries . <smile> yes , i am awesome . ",0,1,0,0,1
68,b7b7764cfa1c523e4e93ab2a79a946c4,"has made more cookies , as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon . despite the late / / early hour , this <repeat> only further awesomeness . ",0,1,0,0,1
69,b7b7764cfa1c523e4e93ab2a79a946c4,has a fair idea of how to manage the <number> kids cliche … she just needs a very strong gentleman named <user> and thirteen wet napkins . ,0,1,0,0,1
70,b7b7764cfa1c523e4e93ab2a79a946c4,saw up . also saw two chuck norris movies . f <elong> <allcaps> - weirdest <allcaps> mix <allcaps> ever <allcaps> . ,0,1,0,0,1
71,b7b7764cfa1c523e4e93ab2a79a946c4,"has an autobot lunchbox , and can therefore die happy now . <smile> in other news , she has also spent the last three hours on an off reading a webcomic that started in <number> ",0,1,0,0,1
72,b7b7764cfa1c523e4e93ab2a79a946c4,", in the post office , with the long overdue copy of photoshop for a friend . i win at the game of clue . ",0,1,0,0,1
73,b7b7764cfa1c523e4e93ab2a79a946c4,clak <repeat> rawr <elong> mel hax <elong> rwr <elong> <allcaps> lolz lolz <repeat> <allcaps> im <allcaps> so <allcaps> hood <allcaps> punk <allcaps> stoopid <allcaps> yo <allcaps> ,0,1,0,0,1
74,b7b7764cfa1c523e4e93ab2a79a946c4,we are not who you think we are . we are golden . ,0,1,0,0,1
75,b7b7764cfa1c523e4e93ab2a79a946c4,i am a lumberjack with a castro hat . ,0,1,0,0,1
76,b7b7764cfa1c523e4e93ab2a79a946c4,the day you wake up and realize youve just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule . ,0,1,0,0,1
77,b7b7764cfa1c523e4e93ab2a79a946c4,actually doesnt mind coloring with markers as much as she thought . yay for coloring vividly creepy villainesses ! <smile> ,0,1,0,0,1
78,b7b7764cfa1c523e4e93ab2a79a946c4,thinks maybe singing along with the radio during most of the eight hour ride home didnt help her throat / / cough / / chest cold thingvers much . ,0,1,0,0,1
79,b7b7764cfa1c523e4e93ab2a79a946c4,drove to a gas station . number of times sent into a panic behind the wheel : <number> i hate <number> mph zones . <smile> ,0,1,0,0,1
80,b7b7764cfa1c523e4e93ab2a79a946c4,"a great new year to everybody . <smile> <heart> make the best of everything you see , and never let the bad stuff keep you down for long ! ",0,1,0,0,1
81,b7b7764cfa1c523e4e93ab2a79a946c4,"has <number> hours to do pretty much all her break work , clean her room , do the dishes , rearrange the furniture in her room , and practice drop spins maybe a dozen more times . <lolface> <allcaps> why not , right ? ",0,1,0,0,1
82,b7b7764cfa1c523e4e93ab2a79a946c4,is open to requests . ,0,1,0,0,1
83,b7b7764cfa1c523e4e93ab2a79a946c4,is frankly at a loss as far as her current internal project . ,0,1,0,0,1
84,b7b7764cfa1c523e4e93ab2a79a946c4,is gonna stay awake all night . then i should be able to just pass out at <number> pm <allcaps> tomorrow ( today ) . ,0,1,0,0,1
85,b7b7764cfa1c523e4e93ab2a79a946c4,cant sleep . remedies ? ,0,1,0,0,1
86,b7b7764cfa1c523e4e93ab2a79a946c4,why are the people i want to talk to never online when i am ? ,0,1,0,0,1
87,b7b7764cfa1c523e4e93ab2a79a946c4,"needs to stop stressing over her personal stuff . homework beckons with a bejeweled , smirking claw , and i must answer , tethered by iron to the responsibilities of real life . ",0,1,0,0,1
88,b7b7764cfa1c523e4e93ab2a79a946c4,is in love with her hair today . <heart> ,0,1,0,0,1
89,b7b7764cfa1c523e4e93ab2a79a946c4,"was right . <smile> today was pretty much fantastic , all around . ",0,1,0,0,1
90,b7b7764cfa1c523e4e93ab2a79a946c4,feels tomorrow will be a busy and very nice day . <smile> ,0,1,0,0,1
91,b7b7764cfa1c523e4e93ab2a79a946c4,is in the last day of her two day mad dash to finish . can she get all her work done it time ? ,0,1,0,0,1
92,b7b7764cfa1c523e4e93ab2a79a946c4,is it a problem if my main reason to come to facebook now is to join groups and become a fan of things ? ,0,1,0,0,1
93,b7b7764cfa1c523e4e93ab2a79a946c4,had a three hour nap this afternoon and cant sleep because of it . ,0,1,0,0,1
94,b7b7764cfa1c523e4e93ab2a79a946c4,my dogs are so hood . ,0,1,0,0,1
95,b7b7764cfa1c523e4e93ab2a79a946c4,"is on a roll ; one short of a turkey , now . ",0,1,0,0,1
96,b7b7764cfa1c523e4e93ab2a79a946c4,cant breathe and feels like her insides are clawing their way out through her belly button . i hate pain . ,0,1,0,0,1
97,b7b7764cfa1c523e4e93ab2a79a946c4,is reflecting on it and is actually very happy shes not in ib <allcaps> right now . ,0,1,0,0,1
98,b7b7764cfa1c523e4e93ab2a79a946c4,has her class ring in with its changes ! whoop whoop ! <heart> <smile> ,0,1,0,0,1
99,b7b7764cfa1c523e4e93ab2a79a946c4,kiss <allcaps> . kiss <allcaps> . lick <allcaps> . <heart> ,0,1,0,0,1
100,b7b7764cfa1c523e4e93ab2a79a946c4,is too lazy to put her stuff back in order . maybe tomorrow . ,0,1,0,0,1
101,b7b7764cfa1c523e4e93ab2a79a946c4,has a serious crush on <user> . <heart> ,0,1,0,0,1
102,318bf822d4f2bd3920367560218619c0,has bed bugs … <repeat> ew <elong> ! ,1,1,0,1,0
103,318bf822d4f2bd3920367560218619c0,and mosquito bites ,1,1,0,1,0
104,318bf822d4f2bd3920367560218619c0,mondays are the new thursdays - anthony bourdain + <user> = forgetting your financial troubles ,1,1,0,1,0
105,318bf822d4f2bd3920367560218619c0,is annoyed with herself ,1,1,0,1,0
106,318bf822d4f2bd3920367560218619c0,"is not turning on her cell at the moment , or for the next few days - dont take it personally . ",1,1,0,1,0
107,318bf822d4f2bd3920367560218619c0,is trying to figure out everything … <repeat> ,1,1,0,1,0
108,318bf822d4f2bd3920367560218619c0,wants no more friend or exboyfriend drama drama ,1,1,0,1,0
109,318bf822d4f2bd3920367560218619c0,is out for the count ,1,1,0,1,0
110,318bf822d4f2bd3920367560218619c0,"its the little things in life - fresh flowers , katie ion , netflix instant movies ",1,1,0,1,0
111,318bf822d4f2bd3920367560218619c0,is bummed the instant movie didnt pull through ,1,1,0,1,0
112,318bf822d4f2bd3920367560218619c0,wants to go to paris . anyone care to accompany me ? ,1,1,0,1,0
113,318bf822d4f2bd3920367560218619c0,one minute at a time ,1,1,0,1,0
114,318bf822d4f2bd3920367560218619c0,loves avoiding burning a whole in her pocket . lesportsac purses and dvd <allcaps> overload . ,1,1,0,1,0
115,318bf822d4f2bd3920367560218619c0,really hates californias economy right now ,1,1,0,1,0
116,318bf822d4f2bd3920367560218619c0,i lost … <repeat> my ex is in a relationship before me ,1,1,0,1,0
117,318bf822d4f2bd3920367560218619c0,"is having a great day so far , thanks to santa paula noon meetings . and my mom . ",1,1,0,1,0
118,318bf822d4f2bd3920367560218619c0,is <user> s best bian ,1,1,0,1,0
119,318bf822d4f2bd3920367560218619c0,misses the ability to drive ,1,1,0,1,0
120,318bf822d4f2bd3920367560218619c0,mi familia de la cuidad de mexico esta aqui ! necesito que practicar mi espanol . ,1,1,0,1,0
121,318bf822d4f2bd3920367560218619c0,"is wearing red lipstick , watching movies , hot boys , and her mother screech at the family dog … <repeat> "" random "" doesnt even begin to describe this scene ",1,1,0,1,0
122,318bf822d4f2bd3920367560218619c0,anthony bourdain bliss ,1,1,0,1,0
123,318bf822d4f2bd3920367560218619c0,turbo tax tried charging me $ <number> dollars to process my taxes . my mom did it for free . fuck you turbo tax and thanks mom for saving the day . ,1,1,0,1,0
124,318bf822d4f2bd3920367560218619c0,is on her way up north to face her judgement ,1,1,0,1,0
125,318bf822d4f2bd3920367560218619c0,"target is my savior - sandals , dresses and shirts , oh my ! ",1,1,0,1,0
126,318bf822d4f2bd3920367560218619c0,"is slightly smitten with the phoenix family . its weird , i know . ",1,1,0,1,0
127,318bf822d4f2bd3920367560218619c0,is hoping to finally get a break tomorrow ! ,1,1,0,1,0
128,318bf822d4f2bd3920367560218619c0,rihanna is just getting crazier and crazier . or more stupid . ,1,1,0,1,0
129,318bf822d4f2bd3920367560218619c0,feels like a bum without legs ,1,1,0,1,0
130,318bf822d4f2bd3920367560218619c0,"having a job again is weird , but welcome . ",1,1,0,1,0
131,318bf822d4f2bd3920367560218619c0,is <number> years to go ,1,1,0,1,0
132,318bf822d4f2bd3920367560218619c0,s electronics are giving out . ,1,1,0,1,0
133,318bf822d4f2bd3920367560218619c0,is celebrating her <number> th day with dieting and work wahoo <elong> ! not . ,1,1,0,1,0
134,318bf822d4f2bd3920367560218619c0,is in love with her new black peacoat . who else is pumped its fall ? ,1,1,0,1,0
135,318bf822d4f2bd3920367560218619c0,is sick in an way shes never been physically sick before . feels like a hangover mixed with the flu mixed with weakness and nausea ,1,1,0,1,0
136,318bf822d4f2bd3920367560218619c0,hates the business that is the united states healthcare system ,1,1,0,1,0
137,318bf822d4f2bd3920367560218619c0,thinks rhiannas italian vogue photoshoot is in bad taste and inappropriate . yuck . ,1,1,0,1,0
138,318bf822d4f2bd3920367560218619c0,is excited for nbc <allcaps> thursdays - especially excited for community ,1,1,0,1,0
139,318bf822d4f2bd3920367560218619c0,is in love with <user> . ,1,1,0,1,0
140,318bf822d4f2bd3920367560218619c0,""" la vie en rose "" - there are no words . absolutely brilliant , honest , and beautiful movie . ",1,1,0,1,0
141,318bf822d4f2bd3920367560218619c0,is flashing lights kanye style ,1,1,0,1,0
142,318bf822d4f2bd3920367560218619c0,i got a break ! a $ <number> healthcare break ! who <elong> ,1,1,0,1,0
143,318bf822d4f2bd3920367560218619c0,is actually going to see someone besides my mother on my day off . no offense mom . u r fabulous but im turning into a <number> - year old not out of the closet yet gay man by the amount of time i spend with you . ,1,1,0,1,0
144,318bf822d4f2bd3920367560218619c0,arg <elong> <allcaps> ! ,1,1,0,1,0
145,318bf822d4f2bd3920367560218619c0,"true blood is getting me in the halloween spirit . damn , bill is hot . ",1,1,0,1,0
146,318bf822d4f2bd3920367560218619c0,michael scott dancing in the booze cruise episode is really entertaining to me right now . ,1,1,0,1,0
147,318bf822d4f2bd3920367560218619c0,"the office , cleaning , and hanging con mi madre are my drugs of choice this evening ",1,1,0,1,0
148,318bf822d4f2bd3920367560218619c0,rip <allcaps> prague nights fall semester <number> ,1,1,0,1,0
149,318bf822d4f2bd3920367560218619c0,needs a hot hair cut . anyone know where i can get a fierce one for under <number> in vc ? ,1,1,0,1,0
150,318bf822d4f2bd3920367560218619c0,"wants to know when she became a single <number> - year old lady . tonight i visited a dating site and watched "" accidentally on purpose "" and felt for the characters . seriously ? ! ",1,1,0,1,0
151,318bf822d4f2bd3920367560218619c0,is ready for her day off ,1,1,0,1,0
152,318bf822d4f2bd3920367560218619c0,life is looking up ,1,1,0,1,0
153,318bf822d4f2bd3920367560218619c0,is excited to kick it old school with an old friend in a new place ,1,1,0,1,0
154,318bf822d4f2bd3920367560218619c0,"why does netflix need me to have at least <number> dvds in my queue ? i think <number> is quite enough , thank you gluttonous merica . ",1,1,0,1,0
155,318bf822d4f2bd3920367560218619c0,is rediscovering her love for bjork ,1,1,0,1,0
156,318bf822d4f2bd3920367560218619c0,"money , teeth cleaning , g mas , bus , top secret errand , target , rodarte dress for $ <number> ( ! ) , some warm and comfy - themed xmas shopping , spending time with mom , coffee , sephora . com , the office , stepping outside and forgetting how cold it gets without proper coverage - productive and self indulgent bliss . not a bad day off . ",1,1,0,1,0
157,318bf822d4f2bd3920367560218619c0,wants to find a way to san fran after the new year ,1,1,0,1,0
158,318bf822d4f2bd3920367560218619c0,is in love . with <user> . ,1,1,0,1,0
159,318bf822d4f2bd3920367560218619c0,is going to start using disposable cameras again - she agrees with stephanie that the anticipation of not knowing what will show up is very missed ,1,1,0,1,0
160,318bf822d4f2bd3920367560218619c0,thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined . im so lucky to have so many great souls in my life . ,1,1,0,1,0
161,318bf822d4f2bd3920367560218619c0,is very excite for today and this weekend . ,1,1,0,1,0
162,318bf822d4f2bd3920367560218619c0,its a beautiful fall day in southern california . ,1,1,0,1,0
163,318bf822d4f2bd3920367560218619c0,s g ma is the coolest ,1,1,0,1,0
164,318bf822d4f2bd3920367560218619c0,wishes she was moving on up in the world . but at least she has jamie to get her through it . ,1,1,0,1,0
165,318bf822d4f2bd3920367560218619c0,today is my <number> month birthday ! ,1,1,0,1,0
166,318bf822d4f2bd3920367560218619c0,intervention - heroine and xanax and crack - oh my . ,1,1,0,1,0
167,318bf822d4f2bd3920367560218619c0,"is having a bad day . not even target , shoes , nor a good guacamole carls jr . burger could bring me up . ",1,1,0,1,0
168,318bf822d4f2bd3920367560218619c0,"summer heights high . jamie , jonah , and mr . g . im hooked on chris lilley . ",1,1,0,1,0
169,318bf822d4f2bd3920367560218619c0,"um , amy poehler is rocking my world right now . seriously , the bad date rant was hysterical <allcaps> . tivo that shit . and by that shit , i mean parks and recreation . ",1,1,0,1,0
170,318bf822d4f2bd3920367560218619c0,ten movies to watch right now ( and some you can instant netflix ) <number> la vie en rose <number> shrink ( if you love la <allcaps> ) <number> paris jetaime ( if you love paris ) <number> clay pidgeons ( <user> is priceless ) <number> quills <number> away we go <number> sunshine cleaning <number> a league of their own <number> smart people ( i heart <user> s page and sjp <allcaps> ) <number> frost / / nixon <number> doubt ,1,1,0,1,0
171,ecbddbfe00e0f83cfdb802a7186061c7,"is stuck on band aid brand , cuz band aids stuck on me ! ",1,0,1,0,1
172,ecbddbfe00e0f83cfdb802a7186061c7,just going to grab some raw fish … <repeat> ,1,0,1,0,1
173,ecbddbfe00e0f83cfdb802a7186061c7,"saw hp <allcaps> <number> … funny , lots of awesome awkward silences , but the scriptwriter needs to have his fingers broken . not only did they achieve new and improved levels of editing important plot elements out , but they are getting increasingly more creative with the n ",1,0,1,0,1
174,ecbddbfe00e0f83cfdb802a7186061c7,need to re learn my patterns again … awesome … ,1,0,1,0,1
175,ecbddbfe00e0f83cfdb802a7186061c7,free <allcaps> slurpee <allcaps> day <allcaps> ! ,1,0,1,0,1
176,ecbddbfe00e0f83cfdb802a7186061c7,has got <allcaps> to stop waking up at <number> pm … ,1,0,1,0,1
177,ecbddbfe00e0f83cfdb802a7186061c7,is not feeling exactly top notch … ,1,0,1,0,1
178,ecbddbfe00e0f83cfdb802a7186061c7,will have too many notifications at the next log in … ,1,0,1,0,1
179,ecbddbfe00e0f83cfdb802a7186061c7,first day of school done ! finances are going to be the end of me … ,1,0,1,0,1
180,ecbddbfe00e0f83cfdb802a7186061c7,is tired and for some reason is looking forward to classes starting … ,1,0,1,0,1
181,ecbddbfe00e0f83cfdb802a7186061c7,<number> months of hell yet again … fml <allcaps> ,1,0,1,0,1
182,ecbddbfe00e0f83cfdb802a7186061c7,got to play with fire in front of a crowd … yay <allcaps> ! ,1,0,1,0,1
183,ecbddbfe00e0f83cfdb802a7186061c7,is in love with ren fest … ,1,0,1,0,1
184,ecbddbfe00e0f83cfdb802a7186061c7,<number> days <allcaps> ! ,1,0,1,0,1
185,ecbddbfe00e0f83cfdb802a7186061c7,what a great day ! ,1,0,1,0,1
186,ecbddbfe00e0f83cfdb802a7186061c7,loves the pirate english version of facebook ! ,1,0,1,0,1
187,ecbddbfe00e0f83cfdb802a7186061c7,has a choice … ,1,0,1,0,1
188,ecbddbfe00e0f83cfdb802a7186061c7,<number> days <allcaps> ! ,1,0,1,0,1
189,ecbddbfe00e0f83cfdb802a7186061c7,ren fest with rain - still good ! ,1,0,1,0,1
190,ecbddbfe00e0f83cfdb802a7186061c7,kindly thanks everyone who wished him a happy birthday ! ,1,0,1,0,1
191,ecbddbfe00e0f83cfdb802a7186061c7,finance class <sadface> ,1,0,1,0,1
192,ecbddbfe00e0f83cfdb802a7186061c7,gets <allcaps> to <allcaps> sleep <allcaps> tonight <allcaps> ! ,1,0,1,0,1
193,ecbddbfe00e0f83cfdb802a7186061c7,<number> hours <allcaps> left <allcaps> ! ,1,0,1,0,1
194,ecbddbfe00e0f83cfdb802a7186061c7,"as much as i like our familys mechanic , i really wish wed stop giving him so much business … <sadface> ",1,0,1,0,1
195,ecbddbfe00e0f83cfdb802a7186061c7,is dying ! help <elong> <allcaps> ! ,1,0,1,0,1
196,ecbddbfe00e0f83cfdb802a7186061c7,saturday was easily one of the best days of my entire life <allcaps> ! ,1,0,1,0,1
197,ecbddbfe00e0f83cfdb802a7186061c7,feeling slightly better … ,1,0,1,0,1
198,ecbddbfe00e0f83cfdb802a7186061c7,ive done it - i procrastinated enough by playing bejeweled blitz to cause it to go offline . mlia <allcaps> ,1,0,1,0,1
199,ecbddbfe00e0f83cfdb802a7186061c7,is potentially going to be pulling an all nighter . feel free to txt to keep me entertained / / awake … ,1,0,1,0,1
201,ecbddbfe00e0f83cfdb802a7186061c7,"finally caught up on sleep <smile> now off to rake more leaves and then lose sleep yet again while studying accounting - call me if ur bored , i ll be up late … ",1,0,1,0,1
202,ecbddbfe00e0f83cfdb802a7186061c7,"attention <allcaps> everyone <allcaps> ! vote for the short "" after <allcaps> hours <allcaps> "" to support <user> - our local michigan talent and a wonderful person . repost please ! <url> / / ",1,0,1,0,1
203,ecbddbfe00e0f83cfdb802a7186061c7,is looking forward to eating his body weight tomorrow <smile> ,1,0,1,0,1
204,ecbddbfe00e0f83cfdb802a7186061c7,"yesterday after school , i got bored and decided to go into the backyard and play with my slingshot . i didnt have any ammo , so i just used peanuts and shot them at trees . i decided to shoot at one really far away . out of nowhere , a squirrel leaped out of a tree , intercepted the peanut , landed on another tree , ate the peanut , gave me what looked like a thumbs up , and ran away . ninja squirrel , you amaze me . mlia <allcaps> . ",1,0,1,0,1
205,ecbddbfe00e0f83cfdb802a7186061c7,"would love to sleep , but <user> writes too damn well ! ",1,0,1,0,1
206,ecbddbfe00e0f83cfdb802a7186061c7,is rather looking forward to the holidays because of his potential whereabouts during that … ,1,0,1,0,1
207,ecbddbfe00e0f83cfdb802a7186061c7,gets overly excited when pressing the wrong buttons on the keyboard causes the discovery of a new shortcut <smile> ,1,0,1,0,1
208,ecbddbfe00e0f83cfdb802a7186061c7,considers himself to be one of the luckiest men ever <allcaps> ! <smile> ,1,0,1,0,1
209,ecbddbfe00e0f83cfdb802a7186061c7,wow <allcaps> ! i just spent <number> minutes reading just this one strip … <url> / / ,1,0,1,0,1
